Name,Sex,2,3,1,4,5,
m,X,X,X,X,X,1,
f,X,X,X,X,X,2,
f,X, , ,X,X,3,
m,X,X,X,X, ,4,
m,X,X, , ,X,5,
f,X,X,X,X,X,6,
f,X,X,X, ,X,7,
m, ,X, , ,X,8,
m,X,X, ,X,X,9,
m,X,X,X,X,X,10,
m,X, ,X,X,X,11,
f,X,X, , ,X,12,
f, , ,X, ,X,13,
m, ,X,X,X,X,14,
m,X,X,X,X,X,15,
m,X, , ,X,X,16,
m, ,X, ,X, ,17,
f,X, ,X,X,X,18,
m,X, , , ,X,19,
m,X,X, , , ,20,
m,X,X,X,X, ,21,
m,X, ,X,X, ,22,
f,X, , ,X,X,23,
f,X,X,X,X,X,24,
m, , , ,X,X,25,
m,X, ,X, , ,26,
m,X,X, , ,X,27,
f,X,X,X,X,X,28,
f, ,X, , ,X,29,
m,X, ,X, , ,30,
m, ,X,X,X, ,31,
f,X, ,X, ,X,32,
f, , , ,X,X,33,
m,X, , ,X,X,34,
f,X,X,X,X,X,35,
m,X,X,X,X, ,36,
f,X, ,X,X, ,37,
f,X,X,X,X, ,38,
m,X, , , ,X,39,
m,X,X, , , ,40,
f, ,X, , ,X,41,
m, , , ,X,X,42,
m, ,X, ,X,X,43,
f,X,X,X,X, ,44,
m,X, , ,X, ,45,
m, , ,X,X,X,46,
m,X, , ,X,X,47,
f, ,X,X, , ,48,
m,X,X,X,X,X,49,
m,X,X, ,X, ,50,
m,X, ,X,X,X,51,
f, ,X,X,X,X,52,
f,X,X,X,X,X,53,
f, ,X,X, , ,54,
m,X, , ,X, ,55,
m,X,X, , , ,56,
f,X, ,X,X, ,57,
m,X,X,X,X,X,58,
f,X,X, , ,X,59,
f,X,X, ,X,X,60,
m,X,X,X,X, ,61,
f,X,X,X,X,X,62,
f,X,X,X,X,X,63,
f,X,X,X,X,X,64,
m,X,X,X,X,X,65,
f, ,X, ,X,X,66,
f, , ,X,X, ,67,
m,X, ,X,X,X,68,
m, ,X,X,X, ,69,
f,X,X,X,X,X,70,
m, ,X,X,X, ,71,
m, ,X,X,X, ,72,
f, ,X,X,X, ,73,
f,X,X,X,X,X,74,
f,X, , ,X, ,75,
f,X,X,X,X,X,76,
m, , ,X, ,X,77,
m, , ,X, ,X,78,
f,X,X,X,X,X,79,
m,X, ,X,X,X,80,
m, , ,X,X, ,81,
m,X,X,X,X,X,82,
f, ,X,X,X, ,83,
m, ,X, ,X, ,84,
f, , ,X,X, ,85,
m, ,X, ,X, ,86,
m,X,X, ,X,X,87,
m,X,X,X,X,X,88,
f,X, ,X,X,X,89,
m,X, , ,X,X,90,
f,X,X,X,X,X,91,
f,X,X,X, ,X,92,
f,X,X,X, , ,93,
f,X, , , ,X,94,
f, ,X, ,X, ,95,
m,X,X,X,X,X,96,
f,X, , ,X,X,97,
m, , , ,X,X,98,
f,X, , , ,X,99,
m,X,X, ,X,X,100,
f,X,X,X,X,X,101,
f,X,X,X,X,X,102,
m,X,X,X,X,X,103,
m,X,X,X,X,X,104,
f,X, , ,X, ,105,
f, , ,X,X,X,106,
f,X,X,X,X,X,107,
f,X,X,X,X,X,108,
f,X, ,X, , ,109,
m,X, ,X,X,X,110,
f,X,X, , , ,111,
f,X,X,X,X,X,112,
f,X,X,X, ,X,113,
m,X,X, , , ,114,
m,X, ,X,X,X,115,
m, ,X,X,X,X,116,
f,X, , ,X,X,117,
f,X,X, ,X, ,118,
m, ,X, , ,X,119,
m,X,X,X,X,X,120,
f,X,X, ,X,X,121,
m,X, ,X, ,X,122,
m,X,X,X, ,X,123,
f,X,X, ,X, ,124,
f,X,X, ,X,X,125,
f,X,X,X,X, ,126,
f, , ,X, ,X,127,
f,X,X,X,X, ,128,
