Name,Sex,h1,h2,h3,
m,X,X,X,n1,
f,X,X,X,n2,
m,X,X, ,n3,
f,X,X,X,n4,
m,X,X, ,n5,
f,X,X,X,n6,
m,X,X,X,n7,
f,X,X,X,n8,
m,X,X,X,n9,
f,X,X,X,n10,
m,X,X,X,n11,
f,X,X,X,n12,
m,X,X, ,n13,
f,X, ,X,n14,
m,X, ,X,n15,
f,X, ,X,n16,
f,X,X,X,n108,
f,X,X,X,n18,
m,X,X, ,n251,
f,X, ,X,n20,
m,X,X,X,n21,
f,X,X,X,n22,
m,X,X, ,n23,
f,X, ,X,n24,
m,X, ,X,n25,
f,X,X,X,n110,
m,X,X,X,n149,
f,X,X,X,n28,
m,X,X,X,n29,
f,X,X,X,n30,
m,X,X, ,n31,
m,X,X,X,n215,
m,X,X, ,n33,
f,X,X,X,n34,
m,X,X,X,n35,
f,X,X, ,n36,
m,X,X, ,n37,
f,X, ,X,n38,
m,X, ,X,n39,
f,X,X,X,n40,
m,X,X, ,n41,
f,X,X,X,n42,
m,X,X,X,n43,
f,X, ,X,n44,
f,X,X,X,n150,
f,X, ,X,n46,
m,X,X,X,n47,
f,X, ,X,n48,
m,X, ,X,n49,
f,X,X,X,n50,
m,X,X,X,n51,
f,X,X,X,n52,
m,X, ,X,n53,
f,X,X,X,n154,
m,X, ,X,n55,
f,X,X,X,n56,
m,X, ,X,n57,
f,X, ,X,n58,
m,X, ,X,n59,
f,X,X,X,n60,
m,X, ,X,n61,
f,X,X,X,n62,
m,X,X,X,n63,
f,X,X,X,n64,
m,X, ,X,n65,
f,X, ,X,n66,
m,X, ,X,n67,
f,X, ,X,n68,
m,X,X,X,n69,
f,X,X,X,n70,
m,X, ,X,n71,
f,X,X,X,n72,
m,X,X, ,n73,
f,X,X,X,n74,
m,X,X,X,n75,
f,X,X, ,n76,
m,X,X,X,n77,
f,X,X,X,n78,
m,X,X,X,n79,
f,X, ,X,n80,
m,X,X,X,n81,
f,X,X, ,n82,
m,X,X,X,n83,
f,X,X,X,n84,
m,X,X,X,n85,
f,X,X,X,n86,
m,X,X,X,n87,
f,X,X, ,n88,
m,X, ,X,n89,
f,X,X, ,n90,
m,X,X,X,n91,
f,X,X,X,n92,
m,X,X, ,n93,
f,X, ,X,n94,
m,X,X,X,n95,
f,X,X,X,n96,
m,X,X,X,n97,
f,X,X, ,n98,
m,X,X, ,n99,
f,X,X,X,n100,
m,X,X, ,n101,
f,X, ,X,n102,
m,X, ,X,n103,
f,X, ,X,n106,
m,X,X,X,n105,
f,X,X,X,n104,
m,X,X,X,n107,
m,X,X,X,n17,
m,X, ,X,n109,
f,X,X,X,n26,
m,X,X,X,n111,
f,X,X, ,n112,
m,X, ,X,n113,
f,X,X,X,n114,
m,X,X,X,n115,
f,X, ,X,n116,
m,X,X, ,n117,
f,X, ,X,n118,
m,X, ,X,n119,
f,X,X,X,n120,
m,X, ,X,n121,
f,X,X, ,n122,
m,X,X,X,n123,
f,X, ,X,n242,
m,X,X,X,n125,
f,X,X,X,n126,
m,X,X, ,n127,
f,X,X, ,n128,
m,X,X,X,n129,
f,X,X, ,n130,
m,X,X,X,n131,
f,X,X,X,n132,
m,X, ,X,n133,
f,X,X,X,n134,
m,X,X, ,n135,
f,X, ,X,n136,
m,X,X, ,n137,
f,X,X, ,n138,
m,X,X,X,n139,
f,X,X, ,n140,
m,X,X, ,n141,
f,X,X, ,n142,
m,X,X,X,n143,
f,X,X,X,n144,
m,X,X, ,n145,
f,X,X,X,n146,
m,X, ,X,n147,
f,X,X, ,n148,
m,X,X, ,n27,
