Name,Sex,h1,h2,h3,
m,X,X,X,n1,
f,X,X,X,n504,
m,X,X,X,n3,
f,X,X,X,n4,
m, ,X, ,n475,
f,X, ,X,n6,
m, ,X, ,n7,
f, , ,X,n8,
m,X, ,X,n9,
f,X, ,X,n10,
m,X, ,X,n11,
f,X,X, ,n12,
m,X,X,X,n13,
f,X, ,X,n14,
m,X,X, ,n15,
f,X,X,X,n16,
m,X, ,X,n17,
m,X,X, ,n243,
m,X,X, ,n319,
m,X,X,X,n211,
m,X,X, ,n21,
f,X,X,X,n22,
m,X,X,X,n23,
f,X,X,X,n24,
m,X,X, ,n25,
m,X,X,X,n105,
m,X, ,X,n27,
f,X, ,X,n28,
m,X, ,X,n29,
f,X,X, ,n30,
f,X, ,X,n502,
f,X,X,X,n32,
m,X,X, ,n33,
f,X,X,X,n34,
m,X,X,X,n35,
f,X,X, ,n36,
f,X, ,X,n492,
f,X, ,X,n38,
m,X,X,X,n39,
f,X,X,X,n40,
m,X,X,X,n41,
f,X,X, ,n400,
m,X,X,X,n43,
f,X,X,X,n44,
m,X, ,X,n45,
f,X,X,X,n46,
m,X, ,X,n47,
f,X,X, ,n48,
m,X,X, ,n49,
f,X,X, ,n50,
m,X, ,X,n51,
f,X,X,X,n52,
m,X, ,X,n53,
f,X,X, ,n54,
m,X,X,X,n55,
f,X,X, ,n56,
m,X,X, ,n57,
f,X,X,X,n58,
m,X,X,X,n59,
f,X,X,X,n488,
m,X,X, ,n61,
m,X,X,X,n353,
m,X,X, ,n63,
f,X,X,X,n64,
m,X, ,X,n65,
f,X, ,X,n66,
m,X,X,X,n67,
f,X,X,X,n68,
m,X,X,X,n69,
f,X,X, ,n70,
m,X, ,X,n71,
f,X,X,X,n72,
m,X,X,X,n129,
m,X, ,X,n173,
f,X,X,X,n512,
f,X,X,X,n76,
m,X, ,X,n77,
f,X,X, ,n78,
m,X, ,X,n79,
f,X,X, ,n80,
m,X,X, ,n81,
f,X, ,X,n82,
m,X,X, ,n83,
f,X, ,X,n84,
m,X,X,X,n191,
f,X,X,X,n86,
m,X,X, ,n87,
f,X,X,X,n88,
m,X, ,X,n89,
f,X, ,X,n90,
m,X,X, ,n91,
f,X, ,X,n92,
m,X, ,X,n93,
f,X,X,X,n94,
m,X,X,X,n95,
f,X,X,X,n96,
m,X, ,X,n97,
f,X, ,X,n98,
m,X, ,X,n99,
f,X,X, ,n100,
m,X,X,X,n101,
f,X,X,X,n102,
m,X,X,X,n103,
f,X, ,X,n104,
f,X,X, ,n26,
f,X,X,X,n106,
m,X,X, ,n107,
f,X,X, ,n108,
m,X,X,X,n109,
f,X, ,X,n110,
m,X,X,X,n111,
f,X,X,X,n112,
m,X,X,X,n113,
m,X, ,X,n165,
m,X,X, ,n115,
f,X,X, ,n116,
f,X,X,X,n202,
f,X,X,X,n118,
m,X,X, ,n37,
f,X,X, ,n120,
m,X,X,X,n121,
f,X,X,X,n122,
m,X,X, ,n123,
f,X,X, ,n124,
m,X, ,X,n125,
f,X,X,X,n126,
f,X, ,X,n340,
f,X,X,X,n128,
m,X,X, ,n73,
f,X,X, ,n130,
m,X,X,X,n131,
f,X,X,X,n132,
m,X, ,X,n133,
f,X,X, ,n134,
m,X,X, ,n135,
f,X,X,X,n136,
m,X,X,X,n137,
f,X,X,X,n138,
m,X, ,X,n139,
f,X,X,X,n140,
m,X,X,X,n141,
f,X,X,X,n142,
m,X, ,X,n143,
f,X,X, ,n144,
m,X,X,X,n145,
f,X,X,X,n146,
m,X, ,X,n147,
f,X,X,X,n148,
m,X,X,X,n149,
f,X,X, ,n150,
m,X,X, ,n151,
f,X,X,X,n152,
m,X,X,X,n153,
f,X, ,X,n154,
m,X,X,X,n155,
f,X,X,X,n156,
m,X,X,X,n157,
f,X,X,X,n158,
m,X,X, ,n159,
f,X, ,X,n160,
m,X,X, ,n161,
f,X,X, ,n162,
m,X,X,X,n163,
f,X,X,X,n164,
f,X, ,X,n114,
m,X,X,X,n335,
m,X,X, ,n167,
f,X,X, ,n168,
m,X,X,X,n169,
f,X,X, ,n170,
m,X, ,X,n499,
f,X,X, ,n172,
f,X,X,X,n74,
f,X,X, ,n174,
m,X,X,X,n175,
f,X, ,X,n176,
m,X,X, ,n177,
f,X,X,X,n178,
m,X,X, ,n179,
f,X,X,X,n420,
m,X,X, ,n181,
f,X,X,X,n182,
m,X,X,X,n183,
f,X,X,X,n228,
m,X, ,X,n185,
m,X,X,X,n329,
m,X, ,X,n187,
f,X,X,X,n188,
m,X,X,X,n189,
f,X,X,X,n190,
m,X,X, ,n85,
f,X,X,X,n192,
m,X,X,X,n193,
f,X,X,X,n270,
m,X, ,X,n195,
m,X,X, ,n213,
m,X,X, ,n197,
f,X,X, ,n198,
m,X,X,X,n199,
f,X,X,X,n200,
m,X,X,X,n339,
m,X,X, ,n117,
m,X,X,X,n203,
f,X,X,X,n204,
m,X, ,X,n205,
f,X, ,X,n206,
m,X, ,X,n207,
f,X, ,X,n208,
m,X, ,X,n209,
f,X,X,X,n210,
f,X,X, ,n20,
f,X,X, ,n212,
f,X, ,X,n196,
f,X, ,X,n214,
m,X,X, ,n215,
f,X, ,X,n216,
m,X,X, ,n217,
f,X, ,X,n218,
m,X, ,X,n219,
f,X,X,X,n220,
m,X,X,X,n221,
f,X,X, ,n222,
m,X,X,X,n223,
f,X,X,X,n224,
m,X,X,X,n225,
f,X,X,X,n226,
m,X, ,X,n227,
f,X,X,X,n184,
m,X,X,X,n229,
f,X,X, ,n230,
m,X,X,X,n231,
f,X,X, ,n232,
m,X,X,X,n233,
f,X,X,X,n234,
m,X, ,X,n235,
f,X,X,X,n236,
m,X,X, ,n237,
f,X, ,X,n238,
m,X, ,X,n425,
f,X,X, ,n240,
m,X,X,X,n241,
m,X,X,X,n415,
f,X, ,X,n18,
f,X,X,X,n244,
m,X,X,X,n245,
f,X,X,X,n246,
m,X,X, ,n247,
f,X,X,X,n248,
m,X, ,X,n249,
f,X,X, ,n250,
m,X, ,X,n463,
m,X,X,X,n423,
m,X,X,X,n253,
f,X, ,X,n254,
